Country Name,Policy Name,Policy Year,Topic ,Policy Description 
,,,,
United Kingdom,Salt and Health ,2003,CVS,The SACN Salt and Health study attempts to present the scientific data that links high salt 
,,,,intake to elevated blood pressure and cardiovascular diseases.
United Kingdom,Cardiovascular disease Outcome Strategy,2013,CVS,Suggestions for improving cardiovascular disease outcomes are given to NHS 
,,,,"commissioners and providers, as well as local authorities "
United Kingdom,Cardiovascular disease: risk assessment and ,2023,CVS,It addresses lipid-lowering medications (such as statins) and lifestyle modifications
,reduction including lipid modification ,,,for both primary and secondary CVD prevention.
United Kingdom,National stroke service model,2021,CVS,"The primary means is evolutionising stroke care nationwide, help patients rebuild their"
,,,,life after stroke through better diagnosis and treatment.
United Kingdom ,10 Year Health plan England: Fit for the future,2025,CVS,"This is a strategy for developing a new, future-ready care model. It will be essential to "
,,,,fulfilling health objective to give people true choice and control over their health and care.
United Kingdom,Quality and outcomes Framework ,2025-2026,CVS,"For various clinical and public health indicators, including blood pressure and heart failure "
,guidance for 2025/2026,,,the document specifies requirements and justifications while outlining guidelines for 
,,,,personalised care adjustments and procedures for raising QOF queries.
United Kingdom,The national cancer strategy ,2011,Cancer,The goal of the national cancer plan is to support the reformed NHS in providing some of 
,,,,best cancer care available worldwide.
United Kingdom,PHE Cancer Board Plan,2017,Cancer,The strategy for organising our cancer efforts over the next five years is outlined in the PHE Cancer Board Plan 
,,,,2017-2021
United Kingdom,NHS Long term plan v1,2019,Cancer,The plan serves to emphasise the importance of preserving  the strength of the health service while effectively 
,,,,utilizing additional funding and addressing employee challenge.
United Kingdom,10 Year Cancer Plan: Call for evidence ,2022,Cancer,"The call for evidence aimed to inform an independent 10-year cancer plan for England, which has now been "
,,,,incorportated into a major conditions plan.
United Kingdom ,Children and Young People Cancer Taskforce ,2024,Cancer,"To advance the fight against childhood and adolscent cancer, the government is bringing  together specialists in the field.  "
United Kingdom,Health Act ,2006,Cancer,"To improve public health and reduce secondhand smoke exposure, the Health Act of 2006 implemented strict smoke- free "
,,,,"regulations in the UK, banning smoking in enclosed public areas and workplaces."
United Kingdom,Tobacco control delivery plan ,2017,Tobacco smoking,The UK Government launched the Towards a Smokefree Generation Tobacco Plan for England 2017-2022 in july 2017 
,,,,to advance its tobacco control efforts.
United Kingdom,Tobacco duty on heated tobacco ,2018,Tobacco smoking,Ensuring heated tobacco is effectively regulated under the tobacco regime will provide clarity and assurance 
United Kingdom,Tobacco Packaging Guidance ,2021,Tobacco smoking,"Advice on tobacco packaging for british merchants, tobacco product makers and distributors, law enforcemen and the "
,,,,general public 
